iter	Passed	Remaining
0	19	19628
1	38	19081
2	56	18860
3	82	20486
4	92	18482
5	121	20202
6	142	20187
7	161	20061
8	188	20767
9	213	21132
10	235	21135
11	259	21365
12	285	21655
13	311	21903
14	330	21704
15	348	21413
16	365	21143
17	382	20885
18	400	20703
19	420	20585
20	439	20491
21	457	20345
22	477	20287
23	499	20320
24	521	20331
25	543	20366
26	564	20336
27	586	20358
28	604	20242
29	620	20051
30	635	19868
31	651	19703
32	675	19786
33	693	19697
34	715	19715
35	736	19723
36	754	19644
37	774	19614
38	801	19739
39	820	19699
40	841	19679
41	865	19748
42	895	19922
43	936	20356
44	981	20839
45	1006	20879
46	1028	20860
47	1048	20792
48	1071	20792
49	1089	20702
50	1108	20621
51	1125	20526
52	1143	20439
53	1170	20503
54	1198	20587
55	1231	20754
56	1265	20937
57	1284	20860
58	1303	20782
59	1321	20703
60	1337	20595
61	1355	20507
62	1372	20417
63	1390	20329
64	1410	20289
65	1427	20203
66	1444	20116
67	1462	20039
68	1482	19999
69	1502	19962
70	1520	19899
71	1537	19812
72	1553	19728
73	1566	19606
74	1582	19514
75	1598	19436
76	1615	19369
77	1629	19260
78	1645	19183
79	1660	19094
80	1676	19017
81	1691	18940
82	1707	18868
83	1722	18786
84	1740	18734
85	1755	18660
86	1771	18595
87	1789	18542
88	1811	18546
89	1833	18541
90	1844	18427
91	1860	18366
92	1876	18303
93	1893	18246
94	1908	18179
95	1924	18121
96	1940	18063
97	1959	18031
98	1974	17974
99	1990	17917
100	2006	17862
101	2024	17820
102	2045	17809
103	2065	17797
104	2082	17754
105	2098	17701
106	2114	17649
107	2130	17594
108	2145	17537
109	2160	17477
110	2176	17428
111	2191	17373
112	2206	17320
113	2224	17290
114	2269	17464
115	2306	17580
116	2331	17596
117	2352	17586
118	2378	17607
119	2400	17604
120	2424	17610
121	2445	17600
122	2466	17588
123	2490	17595
124	2513	17593
125	2539	17618
126	2566	17641
127	2589	17642
128	2612	17638
129	2633	17623
130	2649	17577
131	2671	17564
132	2691	17548
133	2715	17546
134	2741	17566
135	2764	17559
136	2788	17567
137	2811	17559
138	2839	17587
139	2866	17611
140	2893	17627
141	2916	17623
142	2940	17624
143	2965	17628
144	2987	17618
145	3012	17618
146	3034	17610
147	3059	17610
148	3077	17578
149	3097	17551
150	3113	17508
151	3131	17467
152	3147	17424
153	3164	17384
154	3180	17340
155	3196	17296
156	3213	17252
157	3244	17287
158	3272	17310
159	3290	17273
160	3305	17226
161	3321	17182
162	3337	17138
163	3360	17132
164	3396	17186
165	3410	17134
166	3426	17092
167	3442	17048
168	3461	17018
169	3477	16976
170	3492	16932
171	3509	16894
172	3526	16858
173	3543	16822
174	3570	16830
175	3588	16798
176	3605	16764
177	3620	16721
178	3635	16676
179	3650	16631
180	3669	16601
181	3684	16559
182	3699	16514
183	3713	16467
184	3727	16422
185	3741	16376
186	3756	16331
187	3773	16299
188	3789	16258
189	3810	16244
190	3830	16225
191	3849	16199
192	3870	16185
193	3887	16150
194	3903	16112
195	3919	16079
196	3934	16036
197	3951	16007
198	3967	15967
199	3981	15924
200	3996	15888
201	4012	15849
202	4027	15811
203	4041	15771
204	4061	15750
205	4081	15730
206	4100	15709
207	4117	15679
208	4134	15646
209	4149	15608
210	4163	15570
211	4182	15546
212	4197	15508
213	4215	15483
214	4235	15462
215	4263	15473
216	4283	15454
217	4301	15430
218	4320	15407
219	4340	15389
220	4361	15372
221	4380	15351
222	4401	15336
223	4423	15324
224	4444	15310
225	4465	15292
226	4494	15303
227	4511	15277
228	4531	15258
229	4551	15236
230	4571	15217
231	4590	15196
232	4609	15174
233	4633	15167
234	4652	15146
235	4671	15121
236	4695	15117
237	4720	15113
238	4741	15096
239	4762	15081
240	4779	15052
241	4797	15026
242	4814	14996
243	4826	14954
244	4845	14930
245	4862	14904
246	4874	14860
247	4890	14829
248	4906	14798
249	4922	14768
250	4938	14737
251	4955	14708
252	4971	14678
253	4991	14659
254	5011	14642
255	5034	14632
256	5052	14607
257	5069	14580
258	5088	14557
259	5105	14530
260	5122	14502
261	5131	14453
262	5148	14427
263	5165	14400
264	5182	14374
265	5199	14346
266	5219	14329
267	5246	14330
268	5264	14305
269	5281	14279
270	5301	14261
271	5321	14241
272	5338	14216
273	5357	14196
274	5391	14214
275	5418	14213
276	5434	14184
277	5450	14155
278	5467	14129
279	5487	14111
280	5512	14105
281	5545	14118
282	5571	14115
283	5596	14108
284	5620	14100
285	5642	14087
286	5663	14070
287	5685	14055
288	5705	14037
289	5735	14042
290	5778	14078
291	5809	14085
292	5831	14071
293	5847	14042
294	5864	14014
295	5882	13991
296	5900	13967
297	5916	13938
298	5932	13907
299	5947	13877
300	5963	13848
301	5979	13819
302	5993	13787
303	6009	13759
304	6026	13732
305	6039	13696
306	6057	13673
307	6073	13645
308	6088	13615
309	6109	13598
310	6129	13578
311	6146	13553
312	6161	13524
313	6178	13497
314	6210	13505
315	6230	13486
316	6248	13463
317	6267	13441
318	6285	13417
319	6302	13393
320	6319	13367
321	6336	13342
322	6352	13315
323	6368	13287
324	6387	13265
325	6420	13274
326	6446	13267
327	6467	13251
328	6487	13231
329	6504	13205
330	6521	13180
331	6539	13157
332	6557	13134
333	6576	13113
334	6594	13090
335	6614	13071
336	6633	13050
337	6652	13029
338	6670	13006
339	6697	13001
340	6718	12983
341	6738	12964
342	6756	12941
343	6773	12916
344	6789	12889
345	6806	12865
346	6823	12840
347	6840	12815
348	6857	12790
349	6874	12766
350	6890	12740
351	6907	12716
352	6924	12691
353	6941	12667
354	6959	12644
355	6975	12619
356	6995	12599
357	7013	12576
358	7030	12553
359	7051	12535
360	7077	12526
361	7097	12508
362	7114	12484
363	7130	12458
364	7146	12433
365	7163	12408
366	7179	12382
367	7208	12379
368	7239	12379
369	7264	12369
370	7290	12359
371	7317	12353
372	7362	12375
373	7390	12370
374	7422	12370
375	7454	12371
376	7474	12351
377	7497	12336
378	7502	12292
379	7522	12273
380	7540	12250
381	7568	12243
382	7587	12222
383	7606	12202
384	7622	12176
385	7641	12154
386	7660	12134
387	7681	12116
388	7706	12104
389	7732	12093
390	7748	12068
391	7768	12048
392	7787	12028
393	7811	12014
