iter	Passed	Remaining
0	16	16234
1	30	15324
2	43	14619
3	61	15210
4	69	13877
5	87	14452
6	109	15520
7	131	16259
8	152	16805
9	178	17691
10	196	17697
11	217	17869
12	235	17884
13	253	17864
14	271	17849
15	288	17762
16	305	17659
17	323	17621
18	339	17534
19	355	17400
20	370	17290
21	386	17168
22	401	17073
23	420	17093
24	439	17156
25	462	17341
26	480	17314
27	497	17260
28	512	17174
29	528	17088
30	544	17028
31	562	17016
32	579	16982
33	599	17035
34	615	16971
35	631	16903
36	646	16831
37	667	16892
38	691	17036
39	712	17088
40	729	17061
41	746	17028
42	763	16993
43	780	16968
44	800	16992
45	819	16994
46	836	16963
47	853	16928
48	870	16899
49	888	16881
50	905	16842
51	922	16821
52	944	16870
53	966	16924
54	989	16997
55	1009	17023
56	1037	17160
57	1062	17260
58	1084	17291
59	1105	17318
60	1135	17477
61	1171	17717
62	1210	18005
63	1244	18204
64	1263	18173
65	1280	18116
66	1297	18070
67	1314	18018
68	1332	17982
69	1350	17942
70	1367	17891
71	1385	17858
72	1403	17826
73	1423	17811
74	1445	17832
75	1467	17839
76	1484	17792
77	1501	17743
78	1518	17699
79	1533	17640
80	1551	17601
81	1563	17507
82	1582	17478
83	1598	17431
84	1615	17391
85	1631	17337
86	1647	17291
87	1664	17248
88	1681	17206
89	1697	17161
90	1715	17134
91	1740	17179
92	1757	17142
93	1773	17094
94	1792	17079
95	1809	17035
96	1829	17027
97	1852	17051
98	1872	17045
99	1894	17053
100	1914	17037
101	1930	16994
102	1939	16892
103	1955	16851
104	1973	16821
105	1989	16780
106	2005	16739
107	2022	16705
108	2044	16709
109	2063	16696
110	2079	16656
111	2095	16614
112	2112	16580
113	2129	16546
114	2150	16550
115	2177	16597
116	2195	16566
117	2214	16550
118	2231	16519
119	2248	16487
120	2260	16424
121	2277	16390
122	2293	16351
123	2308	16309
124	2323	16265
125	2336	16203
126	2366	16266
127	2386	16257
128	2406	16248
129	2423	16221
130	2443	16206
131	2458	16166
132	2474	16130
133	2491	16101
134	2508	16071
135	2523	16031
136	2537	15985
137	2553	15949
138	2569	15913
139	2584	15874
140	2600	15844
141	2616	15807
142	2627	15745
143	2645	15725
144	2663	15706
145	2679	15673
146	2695	15641
147	2712	15615
148	2728	15582
149	2744	15554
150	2762	15530
151	2778	15503
152	2795	15477
153	2812	15452
154	2828	15420
155	2844	15390
156	2860	15358
157	2882	15362
158	2903	15357
159	2921	15337
160	2938	15315
161	2955	15287
162	2971	15260
163	2988	15232
164	3004	15202
165	3021	15179
166	3038	15156
167	3054	15127
168	3070	15097
169	3086	15069
170	3103	15046
171	3119	15017
172	3138	15004
173	3168	15040
174	3190	15038
175	3207	15017
176	3223	14988
177	3241	14966
178	3257	14939
