iter	RMSE
0	354.7425783
1	351.7268593
2	348.7514172
3	345.8032363
4	342.865772
5	339.9540822
6	337.0714624
7	334.2229584
8	331.4383821
9	328.6594367
10	325.9195099
11	323.2229911
12	320.540615
13	317.886337
14	315.2340427
15	312.6557509
16	310.1178887
17	307.5820354
18	305.0764304
19	302.6000881
20	300.151793
21	297.7266793
22	295.347683
23	292.9766707
24	290.6387544
25	288.3185432
26	286.0161826
27	283.7744246
28	281.5163175
29	279.3376599
30	277.1835745
31	275.0509459
32	272.9245723
33	270.8486481
34	268.756905
35	266.7123775
36	264.7081483
37	262.703728
38	260.7471837
39	258.7968978
40	256.8581933
41	254.9234112
42	253.0289984
43	251.1483554
44	249.331825
45	247.5285739
46	245.7238999
47	243.9249292
48	242.196356
49	240.4776225
50	238.7967182
51	237.0972508
52	235.4088468
53	233.7640217
54	232.1333374
55	230.5190102
56	228.9405921
57	227.3619763
58	225.7898321
59	224.2573745
60	222.7192734
61	221.24475
62	219.7904703
63	218.3514991
64	216.8931913
65	215.4887479
66	214.100615
67	212.7026072
68	211.3681988
69	210.0191593
70	208.6760081
71	207.3547269
72	206.0897143
73	204.8353942
74	203.559926
75	202.3487345
76	201.1217151
77	199.934871
78	198.7382452
79	197.5782263
80	196.4045182
81	195.2775192
82	194.1305293
83	193.014614
84	191.9006381
85	190.8040695
86	189.7380865
87	188.6847722
88	187.6251981
89	186.6161866
90	185.5826737
91	184.5922769
92	183.6143005
93	182.6544142
94	181.7025806
95	180.7737019
96	179.8358987
97	178.9213113
98	178.0351578
99	177.1596906
100	176.2630431
101	175.3738109
102	174.5388889
103	173.6905575
104	172.8577688
105	172.0383081
106	171.2293665
107	170.4405015
108	169.6542873
109	168.8884044
110	168.1354337
111	167.4030105
112	166.6552283
113	165.9270611
114	165.2192943
115	164.5083099
116	163.8269615
117	163.1424946
118	162.4819996
119	161.8121431
120	161.1745136
121	160.5537877
122	159.9102745
123	159.2814035
124	158.6673533
125	158.0501531
126	157.4400258
127	156.8497458
128	156.294143
129	155.6730764
130	155.0821906
131	154.4915705
132	153.9153563
133	153.3369077
134	152.680155
135	152.0830849
136	151.4313942
137	150.823699
138	150.2467726
139	149.6613004
140	149.0379961
141	148.4663493
142	147.9787356
143	147.3920169
144	146.8172862
145	146.2339701
146	145.6677179
147	145.1227016
148	144.5732057
149	144.0497863
