iter	Passed	Remaining
405	7572	11078
406	7596	11068
407	7624	11062
408	7660	11069
409	7689	11065
410	7717	11059
411	7739	11045
412	7761	11030
413	7780	11012
414	7800	10995
415	7818	10976
416	7839	10960
417	7857	10939
418	7873	10917
419	7892	10899
420	7908	10876
421	7923	10852
422	7939	10830
423	7955	10807
424	7971	10785
425	7987	10762
426	8003	10740
427	8018	10716
428	8033	10692
429	8048	10669
430	8065	10648
431	8080	10624
432	8098	10604
433	8116	10584
434	8131	10561
435	8146	10537
436	8162	10516
437	8185	10502
438	8204	10484
439	8253	10504
440	8286	10503
441	8313	10494
442	8336	10481
443	8354	10461
444	8370	10439
445	8379	10408
446	8397	10388
447	8419	10373
448	8438	10356
449	8444	10320
450	8460	10299
451	8477	10277
452	8493	10256
453	8509	10234
454	8529	10216
455	8548	10198
456	8568	10180
457	8588	10163
458	8611	10149
459	8633	10134
460	8656	10121
461	8684	10113
462	8712	10104
463	8747	10104
464	8767	10087
465	8786	10069
466	8806	10051
467	8828	10035
468	8850	10020
469	8870	10003
470	8876	9969
471	8897	9953
472	8908	9925
473	8927	9907
474	8946	9888
475	8963	9867
476	8979	9845
477	8993	9821
478	9008	9798
479	9024	9777
480	9048	9763
481	9067	9745
482	9087	9726
483	9107	9709
484	9129	9693
485	9160	9687
486	9194	9685
487	9222	9675
488	9241	9657
489	9259	9637
490	9275	9615
491	9290	9592
492	9306	9570
493	9321	9547
494	9339	9528
495	9356	9507
496	9373	9486
497	9390	9466
498	9408	9446
499	9426	9426
500	9442	9404
501	9458	9383
502	9472	9359
503	9487	9336
504	9502	9314
505	9520	9294
506	9539	9276
507	9562	9260
508	9584	9245
509	9604	9228
510	9624	9209
511	9642	9190
512	9669	9179
513	9699	9171
514	9734	9167
515	9772	9166
516	9795	9151
517	9816	9134
518	9841	9120
519	9867	9108
520	9891	9094
521	9915	9079
522	9940	9065
523	9966	9053
524	9991	9039
525	10015	9025
526	10038	9009
527	10059	8992
528	10083	8977
529	10107	8963
530	10131	8948
531	10153	8932
532	10182	8921
533	10206	8906
534	10231	8892
535	10253	8876
536	10276	8860
537	10307	8851
538	10331	8836
539	10354	8820
540	10374	8801
541	10379	8771
542	10405	8757
543	10428	8741
544	10449	8723
545	10468	8704
546	10491	8688
547	10513	8672
548	10537	8656
549	10558	8638
550	10577	8619
551	10603	8605
552	10625	8589
553	10668	8588
554	10716	8592
555	10750	8584
556	10789	8581
557	10821	8571
558	10850	8559
559	10879	8548
560	10909	8536
561	10951	8535
562	10996	8535
563	11024	8522
564	11055	8511
565	11085	8500
566	11113	8486
567	11140	8473
568	11166	8458
569	11194	8445
570	11220	8429
571	11245	8414
572	11274	8401
573	11299	8385
574	11321	8367
575	11342	8349
576	11360	8328
577	11381	8309
578	11403	8291
579	11427	8275
580	11452	8259
581	11475	8242
582	11503	8227
583	11528	8212
584	11550	8194
585	11561	8167
586	11585	8151
587	11607	8133
588	11632	8117
589	11653	8098
590	11674	8079
591	11696	8061
592	11720	8043
593	11741	8025
594	11772	8013
595	11797	7996
596	11824	7981
597	11850	7966
598	11881	7953
599	11905	7936
600	11929	7920
601	11954	7903
602	11979	7886
603	12003	7870
604	12029	7854
605	12053	7837
606	12073	7817
607	12096	7799
608	12125	7784
609	12164	7777
610	12194	7763
611	12219	7747
612	12241	7728
613	12263	7709
614	12282	7689
615	12304	7670
616	12322	7649
617	12342	7629
618	12366	7611
619	12387	7592
620	12409	7573
