iter	RMSE
0	352.7478997
1	349.7366802
2	346.7637168
3	343.8019231
4	340.8596544
5	337.9519176
6	335.067434
7	332.2222704
8	329.4305668
9	326.6858558
10	323.9619524
11	321.2670373
12	318.600525
13	315.9702511
14	313.3356525
15	310.7646598
16	308.2143302
17	305.6840381
18	303.1689341
19	300.6987438
20	298.2691417
21	295.8429795
22	293.4674217
23	291.1200858
24	288.7836885
25	286.4664841
26	284.1767763
27	281.9141878
28	279.6752331
29	277.4917693
30	275.3319965
31	273.1721236
32	271.0547441
33	268.9620384
34	266.860912
35	264.8054135
36	262.7991335
37	260.8004942
38	258.8365644
39	256.8919714
40	254.9777642
41	253.0549603
42	251.1654066
43	249.314186
44	247.4908224
45	245.6801983
46	243.875703
47	242.0888244
48	240.3500071
49	238.6273577
50	236.9415422
51	235.2516163
52	233.5888139
53	231.9539719
54	230.3381287
55	228.7395784
56	227.1658764
57	225.5981126
58	224.0420842
59	222.5112833
60	221.003457
61	219.5289879
62	218.073287
63	216.6409739
64	215.2045947
65	213.7926479
66	212.3822509
67	211.0239764
68	209.6860971
69	208.3497195
70	207.0429115
71	205.7240943
72	204.4530533
73	203.1961575
74	201.938056
75	200.7203888
76	199.5008159
77	198.3189846
78	197.1344607
79	195.9832725
80	194.8157368
81	193.6845103
82	192.5477583
83	191.4431337
84	190.3621358
85	189.2887172
86	188.2090718
87	187.1732953
88	186.1203891
89	185.1146468
90	184.1057528
91	183.1029526
92	182.127426
93	181.1586092
94	180.2127183
95	179.2864234
96	178.3537872
97	177.4360455
98	176.552462
99	175.6765714
100	174.8209581
101	173.9492318
102	173.1126265
103	172.287395
104	171.4724881
105	170.657056
106	169.8682589
107	169.0850492
108	168.3198641
109	167.5719744
110	166.80607
111	166.0629892
112	165.3264039
113	164.6203
114	163.919955
115	163.2274262
116	162.5382286
117	161.876149
118	161.2005483
119	160.5588905
120	159.9086981
121	159.289482
122	158.6471842
123	158.0157375
124	157.4163704
125	156.8080839
126	156.2043154
127	155.6168734
128	155.062231
129	154.4991669
130	153.9416309
131	153.4023889
132	152.8599825
133	152.3345033
134	151.8297975
135	151.305503
136	150.8136938
137	150.30433
138	149.8076921
139	149.3179503
140	148.8239118
141	148.3462799
142	147.8709087
143	147.423319
144	146.9519192
145	146.5285661
146	146.1156397
147	145.6607497
148	145.1795563
149	144.671499
150	144.167133
151	143.6237207
152	143.1243028
153	142.6310558
154	142.0909015
155	141.5904841
156	141.0993634
157	140.5680875
158	140.1218872
159	139.628147
160	139.2054855
161	138.7553751
162	138.2829262
163	137.8371015
164	137.3984108
165	136.9916106
166	136.5509173
167	136.138297
168	135.7011361
169	135.2849151
170	134.8524843
171	134.4715822
172	134.0785163
173	133.7048504
174	133.3301304
175	132.9495833
176	132.599297
177	132.2311685
178	131.8518915
179	131.4954626
180	131.181056
181	130.8649134
182	130.4948374
183	130.1229527
184	129.7852826
185	129.4667555
186	129.1166535
187	128.7853189
188	128.4244857
189	128.0902525
190	127.7829939
191	127.4918239
192	127.2963314
193	127.0305928
194	126.7518519
195	126.4811436
196	126.1820847
197	125.8871968
198	125.6023579
199	125.3131594
200	125.0593213
201	124.8072488
202	124.5761628
203	124.3394577
204	124.1606865
205	123.9473874
206	123.7013142
207	123.4928656
208	123.2644282
209	123.0338006
210	122.818082
211	122.5874437
212	122.323459
213	122.0902164
214	121.9096861
215	121.7219313
216	121.5170364
217	121.3346241
218	121.0871335
219	120.8754784
220	120.6757289
221	120.4932056
222	120.2920822
223	120.0836781
224	119.904956
225	119.6903907
226	119.4992413
227	119.3319428
228	119.1812783
229	119.0028146
230	118.8371593
231	118.6521635
232	118.4709287
233	118.2935941
234	118.1458032
235	117.9721516
236	117.7876072
237	117.6692976
238	117.529717
239	117.386838
240	117.2260499
241	117.107703
242	116.9916742
243	116.8692215
244	116.7205827
245	116.5612231
246	116.4072562
247	116.2943715
248	116.1725267
249	116.0227997
250	115.8948373
251	115.7655558
252	115.6570507
253	115.5345042
254	115.3843604
255	115.2635448
256	115.1488934
257	115.0385179
258	114.9237878
259	114.8112873
260	114.7095439
261	114.5982928
262	114.4983532
263	114.4017381
264	114.2959554
265	114.1640287
266	114.0703475
267	113.9750615
268	113.8866951
269	113.7637088
270	113.667858
271	113.5806157
272	113.4953456
273	113.4304371
274	113.3514869
275	113.2542779
276	113.1699909
277	113.053904
278	113.0014999
279	112.9319066
280	112.8546292
281	112.7796905
282	112.707266
283	112.6215553
284	112.5560326
285	112.4672741
286	112.3747671
287	112.2868619
288	112.223015
289	112.1494869
290	112.0733221
291	112.026734
292	111.9359711
293	111.8678416
294	111.8027599
295	111.714639
296	111.6608641
297	111.5943871
298	111.5190087
299	111.4417341
300	111.3752772
301	111.2970071
302	111.2205384
303	111.1377237
304	111.0669843
305	111.002578
306	110.9418916
307	110.8723519
308	110.7947599
309	110.7252772
310	110.6570634
311	110.5796789
312	110.5229349
313	110.4509487
314	110.3827471
315	110.3232562
316	110.2651761
317	110.2147913
318	110.1577931
319	110.1039953
320	110.0377535
321	109.9871392
322	109.9197562
323	109.8712356
324	109.8070975
325	109.7558871
326	109.7133696
327	109.6523832
328	109.6068153
329	109.5584987
330	109.5058584
331	109.459099
332	109.4138846
333	109.3581122
334	109.3013892
335	109.2507231
336	109.2089867
337	109.1626099
338	109.1069532
339	109.0603526
340	109.0227528
341	108.9767278
342	108.9344332
343	108.8805963
344	108.8288511
345	108.7951118
346	108.7430354
347	108.7101024
348	108.660032
349	108.6197462
350	108.579737
351	108.546133
352	108.5115493
353	108.4698757
354	108.4280188
355	108.3873215
356	108.3521844
357	108.3126494
358	108.279969
359	108.250843
360	108.2192542
361	108.208457
362	108.1770046
363	108.1504386
364	108.1164036
365	108.0848867
366	108.045598
367	108.0099677
368	107.9782523
369	107.9392372
370	107.9163294
371	107.8890351
372	107.8616324
373	107.8370741
374	107.8034767
375	107.7968572
376	107.765704
377	107.7354776
378	107.6911673
379	107.654975
380	107.6487455
381	107.6198061
382	107.5980905
383	107.5924242
384	107.5717289
385	107.5501587
386	107.5267158
387	107.5125541
388	107.485099
389	107.4556405
390	107.4426044
391	107.4067455
392	107.3822847
393	107.3563754
394	107.3349435
395	107.3128398
396	107.2952948
397	107.2746965
398	107.2451547
399	107.2137694
400	107.1986561
401	107.1730915
402	107.1536052
403	107.1369698
404	107.1123039
405	107.0826248
406	107.0609578
407	107.0524473
408	107.0189412
409	106.9954742
410	106.9714503
411	106.9472877
412	106.9358564
413	106.9133688
414	106.9037058
415	106.8818333
416	106.8637775
417	106.8458719
418	106.8296449
419	106.7995739
420	106.7841399
421	106.7636905
422	106.7397994
423	106.7061094
424	106.6823011
425	106.6684092
426	106.6435239
427	106.6299474
428	106.6134629
429	106.5927732
430	106.5778599
431	106.5567736
432	106.5457927
433	106.527448
434	106.5112318
435	106.5019156
436	106.4781853
437	106.4576094
438	106.4412062
439	106.4251029
440	106.4129486
441	106.4024539
442	106.3868367
443	106.3727693
444	106.3414673
445	106.339107
446	106.3253905
447	106.3056845
448	106.287971
449	106.2863813
450	106.2733191
451	106.2572373
452	106.2399131
453	106.2296218
454	106.2174568
455	106.2037352
456	106.1895041
457	106.177155
458	106.1638079
459	106.1540833
460	106.1403894
461	106.1269581
462	106.1125579
463	106.0992965
464	106.0858487
465	106.0713493
466	106.0584681
467	106.043327
468	106.0315745
469	106.0256926
470	106.0246355
471	106.003925
472	106.001588
473	105.9912377
474	105.9774488
475	105.9648651
476	105.9502477
477	105.9404949
478	105.934057
479	105.9205535
480	105.8972158
481	105.8843835
482	105.8744448
483	105.8618352
484	105.8518143
485	105.8439838
486	105.8261485
487	105.8144742
488	105.8058155
489	105.7874681
490	105.7774837
491	105.7653097
492	105.7536904
493	105.7337558
494	105.7143174
495	105.7049041
496	105.6947862
497	105.685533
498	105.6704116
499	105.6562799
500	105.6425696
501	105.6378025
502	105.628076
503	105.6202396
504	105.6127151
505	105.5974054
506	105.5772898
507	105.5705788
508	105.5650643
509	105.5578296
510	105.5457839
511	105.5331513
512	105.5106747
513	105.5028147
514	105.4914915
515	105.4858964
516	105.4710164
517	105.4541781
518	105.4404143
519	105.4314286
520	105.4051374
521	105.378176
522	105.3697801
523	105.3540528
524	105.34026
525	105.3193528
526	105.2970993
527	105.2802264
528	105.2651504
529	105.2588619
530	105.2496117
531	105.2399913
532	105.2126546
533	105.1938385
534	105.189489
535	105.1736505
536	105.1621623
537	105.1528325
538	105.1343352
539	105.1311183
540	105.123094
541	105.1228222
542	105.1110169
543	105.0825548
544	105.0687207
545	105.0610676
546	105.055156
547	105.0285836
548	105.010552
549	104.9830685
550	104.9662751
551	104.9599256
552	104.9507556
553	104.9418309
554	104.9271629
555	104.9201521
556	104.909886
557	104.9026662
558	104.884887
559	104.8770377
560	104.8653275
561	104.8576342
562	104.8379076
563	104.8305655
564	104.8109322
565	104.7953469
566	104.7739399
567	104.7650116
568	104.7560689
569	104.7467776
570	104.7396827
571	104.7231907
572	104.7170987
573	104.7096
574	104.7026575
575	104.6975212
576	104.6950383
577	104.6831398
578	104.6753452
579	104.6737335
580	104.6664336
581	104.6623188
582	104.6550092
583	104.6445634
584	104.6342628
585	104.6328126
586	104.6248656
587	104.6108722
588	104.6043706
589	104.5930791
590	104.5752756
591	104.5681023
592	104.5514267
593	104.5409901
594	104.5348352
595	104.5198196
596	104.5166572
597	104.5105991
598	104.5006602
599	104.4990201
600	104.4936869
601	104.4785469
602	104.4642943
603	104.4597225
604	104.4454862
605	104.4411894
606	104.4238568
607	104.4192383
608	104.4141081
609	104.4086528
610	104.4013578
611	104.3887622
612	104.3851728
613	104.374178
614	104.371634
615	104.3681169
616	104.3496897
617	104.3445587
618	104.3374855
619	104.3218183
620	104.3113829
621	104.3086016
622	104.3079845
623	104.3031154
624	104.281052
625	104.2768049
626	104.2704029
627	104.2561392
628	104.2495065
629	104.2441367
630	104.2440284
631	104.236997
632	104.2263358
633	104.2225754
634	104.2169218
635	104.2036305
636	104.1960678
637	104.1808097
638	104.1608739
639	104.1472028
640	104.1379456
641	104.1286447
642	104.1222519
643	104.0978956
644	104.0723764
645	104.0678539
646	104.0596091
647	104.0569781
648	104.0450767
649	104.0397934
650	104.0374487
651	104.0328819
652	104.022832
653	104.0131288
654	104.0090354
655	104.0032723
656	103.9984711
657	103.9934455
658	103.9878483
659	103.9775105
660	103.974469
661	103.963358
662	103.9582117
663	103.9466794
664	103.9386783
665	103.9374508
666	103.9312373
667	103.923666
668	103.9148007
669	103.9013028
670	103.8950109
671	103.8873527
672	103.8838342
673	103.8699018
674	103.8675927
675	103.8582458
676	103.8533433
677	103.8459346
678	103.8383193
679	103.831597
680	103.8216608
681	103.814094
682	103.8098286
683	103.8047639
684	103.8010131
685	103.7967227
686	103.7883844
687	103.7835603
688	103.7626954
689	103.7534892
690	103.7490449
691	103.7468177
692	103.7352051
693	103.7297861
694	103.7260954
695	103.7237862
696	103.7139978
697	103.7105296
698	103.6895638
699	103.6832886
700	103.6806671
701	103.6761813
702	103.6708786
703	103.6671938
704	103.6557735
705	103.648984
706	103.6464325
707	103.6395928
708	103.630331
709	103.6268823
