iter	Passed	Remaining
403	10717	29075
404	10738	29033
405	10757	28987
406	10783	28958
407	10808	28927
408	10835	28904
409	10862	28877
410	10891	28857
411	10921	28841
412	10942	28800
413	10964	28761
414	10987	28726
415	11007	28683
416	11028	28642
417	11048	28598
418	11069	28558
419	11091	28521
420	11112	28480
421	11132	28438
422	11154	28399
423	11175	28360
424	11198	28325
425	11222	28292
426	11243	28252
427	11269	28225
428	11296	28202
429	11324	28180
430	11353	28160
431	11381	28136
432	11422	28146
433	11459	28146
434	11487	28124
435	11522	28119
436	11564	28129
437	11589	28100
438	11613	28068
439	11636	28033
440	11661	28003
441	11686	27974
442	11710	27941
443	11738	27918
444	11763	27888
445	11789	27861
446	11827	27861
447	11852	27832
448	11876	27799
449	11902	27773
450	11928	27744
451	11956	27722
452	11991	27716
453	12025	27705
454	12055	27688
455	12090	27680
456	12118	27656
457	12141	27624
458	12167	27595
459	12192	27566
460	12221	27544
461	12250	27523
462	12274	27490
463	12300	27463
464	12328	27440
465	12354	27413
466	12384	27395
467	12415	27378
468	12442	27351
469	12465	27317
470	12488	27283
471	12511	27249
472	12535	27218
473	12558	27183
474	12580	27147
475	12602	27110
476	12623	27072
477	12645	27037
478	12667	27000
479	12691	26969
480	12717	26941
481	12746	26921
482	12776	26902
483	12806	26882
484	12833	26857
485	12854	26819
486	12894	26821
487	12917	26787
488	12940	26753
489	12961	26716
490	12993	26701
491	13027	26690
492	13064	26685
493	13107	26693
494	13132	26662
495	13156	26631
496	13177	26593
497	13216	26591
498	13259	26599
499	13291	26582
500	13321	26563
501	13353	26547
502	13383	26527
503	13416	26513
504	13446	26492
505	13479	26479
506	13521	26483
507	13557	26474
508	13593	26465
509	13625	26449
510	13660	26438
511	13688	26415
512	13724	26405
513	13759	26394
514	13800	26396
515	13841	26395
516	13882	26394
517	13907	26364
518	13929	26329
519	13955	26301
520	13978	26267
521	14009	26247
522	14034	26218
523	14060	26189
524	14090	26167
525	14119	26145
526	14147	26120
527	14178	26101
528	14212	26087
529	14242	26066
530	14273	26047
531	14308	26035
532	14343	26023
533	14388	26028
534	14426	26021
535	14467	26019
536	14506	26014
537	14544	26007
538	14581	25997
539	14613	25980
540	14646	25962
541	14685	25957
542	14723	25949
543	14759	25936
544	14799	25933
