iter	RMSE
0	126.3977975
1	122.3936528
2	119.4950189
3	116.9034461
4	115.1185852
5	113.5689709
6	112.6527429
7	111.6920493
8	110.7723629
9	109.9454421
10	109.3252223
11	108.6474297
12	108.5431072
13	108.1523769
14	107.9259242
15	107.6426191
16	107.3862516
17	106.9755371
18	106.6020389
19	106.3881423
20	106.3523473
21	106.2714988
22	106.1556595
23	106.0243252
24	105.8903688
25	105.643328
26	105.6228889
27	105.4790143
28	105.4004526
29	105.2701042
30	105.2038665
31	105.1106717
32	104.9934414
33	104.9548445
34	104.8775709
35	104.7545097
36	104.6807456
37	104.5833522
38	104.5626214
39	104.5141316
40	104.4443825
41	104.3451731
42	104.339915
43	104.189622
44	104.1542078
45	104.1172432
46	104.1165458
47	104.1164003
48	104.0537406
49	104.0277221
50	103.9607929
51	103.9483467
52	103.9193096
53	103.8567667
54	103.7895125
55	103.7867094
56	103.7394065
57	103.7390414
58	103.7158333
59	103.6660718
60	103.6644389
61	103.6618453
62	103.5357667
63	103.508259
64	103.456108
65	103.3866675
66	103.3841525
67	103.3047392
68	103.254008
69	103.1827878
70	103.1805607
71	103.1089831
72	103.0282364
73	102.9730447
74	102.9189307
75	102.888248
76	102.8827823
77	102.8800963
78	102.7915536
79	102.7541317
80	102.7325095
81	102.6846019
82	102.6776306
83	102.6458916
84	102.6192727
85	102.58884
86	102.4864571
87	102.4558676
88	102.4299215
89	102.3656063
90	102.3629152
91	102.3447341
92	102.2871483
93	102.2226739
94	102.2132396
95	102.2115046
96	102.1502172
97	102.1437873
98	102.1178179
99	102.0679035
100	102.0220351
101	101.9867203
102	101.9680509
103	101.9626864
104	101.9564775
105	101.896743
106	101.755943
107	101.5427772
108	101.5078956
109	101.4612597
110	101.3640419
111	101.3525806
112	101.3235092
113	101.2967606
114	101.2691512
115	101.2195734
116	101.1819288
117	101.1740061
118	101.168436
119	101.1300953
120	101.0796797
121	101.04554
122	101.0400944
123	100.963751
124	100.9200252
125	100.9157343
126	100.8523593
127	100.8102111
128	100.7559077
129	100.7502911
130	100.6860863
131	100.6827906
132	100.6783866
133	100.6597904
134	100.6564235
135	100.5962772
136	100.5141717
137	100.474127
138	100.3772591
139	100.2417786
140	100.2370828
141	100.2261661
142	100.159314
143	100.1404119
144	100.1250684
145	100.1219793
146	100.1138717
147	100.0694198
148	100.0430229
149	99.98485249
150	99.98130067
151	99.94308417
152	99.84580551
153	99.77950148
154	99.7749482
155	99.75785077
156	99.74909405
157	99.72820223
158	99.67180205
159	99.64733992
160	99.64198276
161	99.58758623
162	99.54044122
163	99.5365206
164	99.49122776
165	99.4880779
166	99.4583182
167	99.41577621
168	99.37831599
169	99.35139325
170	99.3277041
171	99.32165151
172	99.27614119
173	99.21151504
174	99.1636741
175	99.12320644
176	99.07438981
177	99.03242015
178	99.00802831
179	98.88956978
180	98.83232194
181	98.82811347
182	98.75676455
183	98.68215784
184	98.65630362
185	98.61154182
186	98.60717215
187	98.58992785
188	98.58372461
189	98.57220545
190	98.56889606
191	98.55715462
192	98.55264366
193	98.52297784
194	98.49431544
195	98.48978195
196	98.48522408
197	98.37714017
198	98.33829541
199	98.33039117
200	98.32621609
201	98.32043801
202	98.28056845
203	98.23615281
204	98.21762753
205	98.19443367
206	98.19063593
207	98.1252655
208	98.10818577
209	98.1061272
210	98.05583557
211	98.01389565
212	97.99546943
213	97.96052779
214	97.93658334
215	97.93009255
216	97.92095396
217	97.91741302
218	97.85390568
219	97.85059106
220	97.8261484
221	97.77551224
222	97.75104436
223	97.74727407
224	97.7339046
225	97.66882679
226	97.60156886
227	97.58705305
228	97.55920153
229	97.55667609
230	97.50274567
231	97.47644682
232	97.41918088
233	97.39028661
234	97.36916018
235	97.3432596
236	97.33209307
237	97.3281184
238	97.29402044
239	97.27460581
240	97.23283638
241	97.22567121
242	97.17244331
243	97.16791675
244	97.10762899
245	97.09937414
246	97.07797189
247	97.07666481
248	97.03560788
249	97.02086165
250	97.01428192
251	96.99121125
252	96.98541661
253	96.96683889
254	96.88524569
255	96.88025478
256	96.87445138
257	96.85636939
258	96.83386313
259	96.83118946
260	96.79185248
261	96.76088001
262	96.6923272
263	96.66962027
264	96.6292056
265	96.58820467
266	96.57440203
267	96.50876166
268	96.45533962
269	96.45363596
270	96.45173978
271	96.44861563
272	96.42850994
273	96.42690198
274	96.39301492
275	96.34982542
276	96.31923975
277	96.29925275
278	96.29703724
279	96.28454061
280	96.28175051
281	96.27607004
282	96.27058127
283	96.25732124
284	96.25328837
285	96.22306488
286	96.2212234
287	96.16546395
288	96.10439822
289	96.10174067
290	96.07696745
291	96.06095499
292	96.03598454
293	96.00756488
294	96.00583604
295	95.97506645
296	95.93775838
297	95.91258245
298	95.89046892
299	95.87325821
300	95.85258554
301	95.82668995
302	95.82505767
303	95.82323243
304	95.80069795
305	95.77713135
306	95.77431102
307	95.7171736
308	95.67209329
309	95.63626207
310	95.6141976
311	95.60656101
312	95.59534223
313	95.58058606
314	95.5572178
315	95.55055442
316	95.5430986
317	95.52701686
318	95.49054079
319	95.46672779
320	95.43341293
321	95.42957977
322	95.40425883
323	95.39012091
324	95.36217888
325	95.34655115
326	95.32691275
327	95.30552995
328	95.29940005
329	95.26263046
330	95.25967003
331	95.25828445
